Ticker,Close,Close_1D,Open,Low,High,Volume,MeanVol_13W,MeanVol_10W,High52W,Low52W,EPS,PE,Market capital,Float,BookValue,Beta,ROE,EPS_52W,CPM,FVQ
CC4,8.7,7.6,8.7,8.7,8.7,100.0,242.0,450.0,21.1,4.9,63.0,138.1,139.0,16.0,14.4,0.0,0.0,0.0,4.3061224489795915,66115.70247933884
CCI,14.0,14.95,14.0,14.0,14.0,600.0,555.0,795.0,16.3,11.6,1638.0,8.5,248.0,17.54,15.3,0.18,11.0,1506.0,1.4051724137931036,31603.6036036036
CCL,3.7,3.77,3.73,3.7,3.8,228000.0,289096.0,377220.0,8.5,2.7,295.0,12.5,131.0,35.5,10.9,0.27,3.0,129.0,3.148148148148148,122.7965796828735
CCM,32.0,32.0,0.0,0.0,0.0,0.0,1205.0,1512.0,54.8,11.4,8089.0,4.0,198.0,6.2,33.4,-0.03,23.0,1990.0,4.807017543859649,5145.2282157676345
CCP,25.1,25.1,0.0,0.0,0.0,0.0,16.0,30.0,26.2,9.8,728.0,34.5,60.0,2.4,14.2,0.0,6.0,0.0,2.6734693877551017,150000.0
CCR,18.0,18.0,0.0,0.0,0.0,0.0,1.0,0.0,65.8,17.7,313.0,57.5,441.0,24.5,10.6,0.0,3.0,303.0,3.7175141242937855,24500000.0
CCV,37.0,37.0,0.0,0.0,0.0,0.0,299.0,500.0,37.0,7.1,0.0,0.0,67.0,1.8,0.0,0.0,28.0,0.0,5.211267605633803,6020.066889632107
CDC,17.3,17.5,17.5,17.2,17.5,7060.0,5934.0,3286.0,19.5,13.0,1849.0,9.4,272.0,15.71,17.5,0.14,11.0,1042.0,1.5,2647.455342096394
CDG,14.1,14.1,0.0,0.0,0.0,0.0,73.0,426.0,15.0,9.3,0.0,0.0,49.0,3.46,0.0,0.0,10.0,0.0,1.6129032258064515,47397.260273972606
CDH,5.1,5.1,0.0,0.0,0.0,0.0,29.0,0.0,9.8,5.1,0.0,0.0,10.0,2.0,0.0,0.0,4.0,0.0,1.9215686274509807,68965.5172413793
CDN,17.9,17.9,17.0,17.0,17.9,600.0,2776.0,360.0,22.2,15.3,1330.0,13.5,1181.0,99.0,8.8,0.83,15.0,1287.0,1.4509803921568627,35662.8242074928
CDO,1.33,1.32,1.34,1.28,1.34,10220.0,243284.0,40171.0,4.4,1.2,36.0,36.9,42.0,31.5,11.3,0.63,0.0,895.0,3.666666666666667,129.47830519064138
CE1,7.5,7.5,0.0,0.0,0.0,0.0,39.0,0.0,14.0,7.5,0.0,0.0,45.0,6.0,0.0,0.0,2.0,0.0,1.8666666666666667,153846.15384615384
CEC,6.4,6.4,0.0,0.0,0.0,0.0,31.0,40.0,14.6,6.4,645.0,9.9,38.0,5.98,31.8,0.0,0.0,0.0,2.28125,192903.22580645164
CEE,18.0,18.0,18.0,17.8,18.0,71700.0,63208.0,66897.0,32.0,17.0,2196.0,8.2,747.0,41.5,12.3,0.64,18.0,0.0,1.8823529411764706,656.5624604480446
CEG,9.8,9.8,0.0,0.0,0.0,0.0,416.0,0.0,17.7,9.2,0.0,0.0,37.0,3.8,0.0,0.0,12.0,0.0,1.923913043478261,9134.615384615383
CEO,15.5,16.0,16.0,15.5,16.4,1749900.0,1212560.0,2335642.0,16.6,9.7,1150.0,13.5,2393.0,154.4,14.5,0.45,14.0,1033.0,1.7113402061855674,127.33390512634428
CET,4.0,4.0,0.0,0.0,0.0,0.0,26017.0,5557.0,16.9,3.6,-336.0,-11.9,24.0,6.05,12.1,0.74,4.0,0.0,4.694444444444444,232.5402621362955
CFC,10.9,10.9,0.0,0.0,0.0,0.0,118.0,0.0,20.8,5.5,1369.0,8.0,27.0,2.44,0.0,0.0,5.0,0.0,3.7818181818181817,20677.966101694914
CGP,10.1,10.1,0.0,0.0,0.0,0.0,4973.0,1514.0,10.1,6.7,0.0,0.0,108.0,10.74,5.4,0.0,50.0,0.0,1.507462686567164,2159.6621757490448
CGV,2.6,2.3,2.6,2.6,2.6,100.0,1859.0,470.0,14.5,1.8,0.0,0.0,25.0,9.5,0.0,0.0,8.0,0.0,8.055555555555555,5110.274341043571
CHP,24.4,24.4,24.5,24.4,24.5,45400.0,83744.0,40087.0,28.4,20.2,3257.0,7.5,3074.0,126.0,14.9,0.1,22.0,2046.0,1.4059405940594059,1504.5854031333588
CHS,10.3,10.3,10.3,10.3,10.9,4700.0,689.0,650.0,15.5,7.9,812.0,12.7,293.0,28.4,11.0,0.0,8.0,1368.0,1.9620253164556962,41219.15820029028
