Ticker,Close,Close_1D,Open,Low,High,Volume,MeanVol_13W,MeanVol_10D,High52W,Low52W,EPS,PE,Market capital,Float,BookValue,Beta,ROE,EPS_52W,CPM,FVQ
KBC,12.75,12.5,12.65,12.55,12.9,1830710.0,3229835.0,3949727.0,17.2,11.9,1244.0,10.2,6065.0,469.76,19.2,0.96,7.0,1188.0,1.4453781512605042,145.44396230767202
KDH,31.4,31.4,31.4,31.2,31.5,98880.0,282266.0,256806.0,35.0,18.1,1509.0,20.8,10550.0,336.0,18.4,0.23,9.0,1125.0,1.9337016574585637,1190.366533695167
KLF,2.4,2.5,2.5,2.4,2.5,971800.0,3566031.0,1970764.0,6.2,2.1,28.0,85.7,397.0,165.35,10.3,1.7,0.0,92.0,2.952380952380953,46.36807700213487
KSA,0.85,0.86,0.8,0.8,0.91,3036790.0,1443832.0,1575804.0,2.7,0.9,130.0,6.5,79.0,93.43,10.7,0.62,1.0,70.0,3.0,64.70974462402829
KSB,39.7,38.65,38.65,38.65,39.7,88400.0,302479.0,229076.0,57.6,34.4,5925.0,6.7,1858.0,46.8,16.4,0.54,36.0,4398.0,1.6744186046511629,154.72148479729168
KSK,1.2,1.1,1.1,1.1,1.2,276800.0,308526.0,199824.0,2.2,1.0,113.0,10.6,29.0,23.89,9.9,1.02,1.0,43.0,2.2,77.43269610989027
KVC,2.7,2.7,2.6,2.6,2.7,83800.0,336909.0,277228.0,4.2,2.3,471.0,5.7,134.0,49.5,11.0,1.21,4.0,345.0,1.8260869565217392,146.92394682243574
LCG,10.15,10.1,10.0,9.92,10.15,273390.0,396814.0,322151.0,12.0,5.6,1219.0,8.3,792.0,78.0,14.0,0.08,10.0,869.0,2.142857142857143,196.5656453653349
LDG,23.2,22.8,23.3,22.65,23.3,717200.0,1362620.0,1242839.0,25.0,6.9,1769.0,13.1,3711.0,159.96,12.5,0.86,14.0,993.0,3.623188405797101,117.39149579486578
LPB,15.6,14.8,15.4,15.0,15.7,1433000.0,2394391.0,2314719.0,16.7,10.8,1569.0,9.9,10078.0,717.71,14.2,0.0,12.0,0.0,1.5462962962962958,299.7463655685308
LSS,10.8,10.7,10.95,10.7,10.95,16630.0,220017.0,211788.0,14.0,8.5,935.0,11.6,756.0,70.0,23.1,0.69,4.0,2089.0,1.6470588235294117,318.15723330469916
MBB,31.5,30.9,31.2,31.2,31.9,5007700.0,5790575.0,5729718.0,33.1,12.7,2123.0,14.8,57188.0,1815.51,15.9,1.48,14.0,1556.0,2.606299212598425,313.52844924726816
MBS,15.3,15.3,15.1,14.8,15.3,186800.0,242138.0,224333.0,16.2,4.6,159.0,96.2,1869.0,122.12,10.5,1.53,2.0,-42.0,3.5217391304347827,504.3405000454286
MSN,85.6,85.0,85.0,85.0,87.0,485920.0,832726.0,847852.0,97.5,40.7,2962.0,28.9,99071.0,1047.47,19.3,1.05,18.0,2665.0,2.395577395577396,1257.880743485853
MSR,29.1,27.6,27.6,27.6,29.1,125800.0,244781.0,277859.0,35.7,13.1,293.0,99.3,20473.0,703.54,17.1,0.0,3.0,156.0,2.725190839694657,2874.160984716951
MST,2.6,2.6,2.6,2.6,2.8,196400.0,589093.0,209915.0,16.1,2.5,457.0,5.7,47.0,18.0,11.4,0.04,4.0,449.0,6.44,30.55544710257973
MWG,120.0,113.9,114.0,114.0,120.5,192920.0,673059.0,589033.0,137.5,80.8,6958.0,17.2,38039.0,316.99,19.2,0.55,37.0,5125.0,1.7017326732673268,470.96911266322877
NDN,11.4,11.2,11.2,11.2,11.5,196400.0,367842.0,257734.0,11.9,7.5,2097.0,5.4,480.0,42.14,13.3,0.66,16.0,1035.0,1.586666666666667,114.56005567607832
NKG,35.8,35.8,35.9,35.5,36.0,316590.0,690134.0,374159.0,44.3,23.1,5442.0,6.6,4654.0,130.0,22.6,0.81,24.0,3997.0,1.917748917748917,188.3692152538493
NLG,33.3,33.0,34.0,33.1,34.0,101280.0,684611.0,479548.0,35.0,19.9,3403.0,9.8,5236.0,157.23,23.7,0.7,20.0,2196.0,1.7587939698492463,229.66326862992267
NS3,48.6,48.6,0.0,0.0,0.0,0.0,44024.0,396010.0,51.2,12.0,939.0,51.8,267.0,5.5,11.6,0.0,25.0,0.0,4.266666666666667,124.93185535162638
NT2,32.0,31.0,31.9,31.0,32.5,111540.0,344710.0,217059.0,36.6,23.7,2815.0,11.4,9212.0,287.88,17.3,0.55,16.0,3770.0,1.5443037974683544,835.1367816425401
NVB,8.1,8.3,8.3,7.9,8.3,171800.0,261617.0,348506.0,10.5,4.1,43.0,188.4,2438.0,301.02,10.6,1.39,0.0,53.0,2.5609756097560976,1150.6133011233976
NVL,80.0,79.0,78.5,78.5,80.0,2508250.0,1471953.0,2464286.0,84.6,59.7,3265.0,24.5,49826.0,622.83,21.3,0.42,16.0,2669.0,1.4170854271356783,423.1317168415025
NVT,3.74,3.5,3.5,3.4,3.74,56200.0,446334.0,982234.0,5.0,1.9,-5298.0,-0.7,338.0,90.5,4.3,1.82,-118.0,106.0,2.631578947368421,202.7629533040279
OCH,4.5,4.5,4.9,4.5,4.9,1100.0,22128.0,180869.0,12.5,4.3,-29.0,-155.2,900.0,200.0,6.1,2.07,0.0,-771.0,2.906976744186047,9038.32248734635
OGC,2.11,1.98,2.0,1.94,2.11,2591610.0,3037323.0,2683061.0,3.1,1.1,-1552.0,-1.4,633.0,300.0,2.6,0.1,-59.0,-2424.0,2.8181818181818183,98.77118765439172
PDR,37.0,36.9,36.7,36.6,37.0,1140610.0,1420217.0,1505032.0,39.5,12.1,2019.0,18.3,8214.0,221.99,12.8,0.41,16.0,1091.0,3.2644628099173554,156.30709954887175
PGS,32.5,30.0,33.0,31.0,33.0,1400.0,60339.0,187916.0,37.0,15.8,2195.0,14.8,1625.0,50.0,19.2,0.07,11.0,5147.0,2.3417721518987342,828.6514526259965
PHC,16.8,16.4,16.5,16.5,16.9,246700.0,333426.0,321022.0,17.6,8.9,1263.0,13.3,351.0,20.9,16.9,0.23,9.0,782.0,1.9775280898876408,62.68257424436007
PHR,47.1,45.5,44.2,44.2,47.5,102150.0,361044.0,212983.0,52.0,23.6,4138.0,11.4,3829.0,78.98,30.5,1.0,14.0,3592.0,2.2033898305084745,218.7545008364632
PIV,6.3,6.3,6.0,6.0,6.4,813500.0,695425.0,514518.0,48.2,5.7,309.0,20.4,109.0,17.32,10.6,0.24,3.0,877.0,8.456140350877194,24.90563324585685
PLX,78.2,77.9,79.0,78.0,79.3,546150.0,882455.0,1041676.0,93.1,42.1,2679.0,29.2,101181.0,1293.88,18.7,1.28,16.0,3606.0,2.211401425178147,1466.227739658113
PNJ,159.5,155.0,159.8,157.0,160.0,165670.0,348126.0,375036.0,159.5,71.9,6712.0,23.8,17242.0,108.1,27.3,0.57,25.0,4164.0,2.218358831710709,310.5197543418188
PPC,19.65,18.9,19.3,19.3,19.7,53540.0,251895.0,152705.0,23.7,14.8,2627.0,7.5,6411.0,318.15,17.2,1.26,15.0,1706.0,1.601351351351351,1263.0262609420593
PPI,1.52,1.57,1.5,1.48,1.54,475760.0,284189.0,331993.0,3.9,1.5,-1027.0,-1.5,73.0,48.29,9.5,1.02,-11.0,57.0,2.6,169.92212928719968
PVB,17.8,17.6,17.9,17.1,18.1,132000.0,297579.0,194879.0,23.6,9.9,2552.0,7.0,384.0,21.6,18.6,1.14,14.0,-2496.0,2.383838383838384,72.58576714082648
PVC,9.8,9.9,10.2,9.8,10.2,168100.0,486166.0,519115.0,14.1,6.4,108.0,90.7,490.0,50.0,19.0,1.28,1.0,-1062.0,2.203125,102.8455301275696
PVD,21.5,21.25,21.4,21.4,22.2,2077870.0,3680480.0,4191308.0,30.6,13.0,69.0,311.6,8240.0,383.27,35.1,1.88,0.0,313.0,2.3538461538461544,104.13587358170672
PVE,7.3,7.4,7.5,7.1,7.5,215900.0,294132.0,282545.0,9.3,6.6,1493.0,4.9,183.0,25.0,12.9,1.29,12.0,763.0,1.4090909090909092,84.99585220241252
PVI,38.4,37.9,37.9,37.8,38.5,323600.0,286821.0,326829.0,38.4,22.4,2461.0,15.6,8995.0,225.41,30.7,0.72,9.0,2880.0,1.7142857142857144,785.8908517856083
PVS,22.8,22.6,23.0,22.8,23.3,5911300.0,6772653.0,9818063.0,32.0,15.2,1793.0,12.7,10185.0,446.7,27.0,1.75,6.0,2210.0,2.1052631578947367,65.95642800539169
PVT,18.25,18.1,17.9,17.8,18.3,260290.0,606255.0,931770.0,19.7,11.4,1501.0,12.2,5136.0,281.44,16.5,0.85,11.0,1468.0,1.7280701754385963,464.2270991579451
PVX,2.1,2.1,2.2,2.1,2.2,1293600.0,2822816.0,2886158.0,2.8,1.9,-895.0,-2.3,840.0,400.0,6.5,1.43,-16.0,367.0,1.4736842105263157,141.7024701574598
PXS,7.78,7.34,7.79,7.6,7.8,140010.0,468855.0,281077.0,11.5,6.2,26.0,299.2,467.0,60.0,12.4,1.31,1.0,1462.0,1.8548387096774197,127.9713344210897
QCG,13.1,12.5,12.6,12.5,13.1,845720.0,851595.0,1441986.0,28.2,4.1,1541.0,8.5,3604.0,275.13,15.0,0.88,10.0,253.0,6.8780487804878065,323.07611012276965
QNS,55.2,52.3,53.4,53.4,55.5,489100.0,207233.0,272286.0,96.8,45.0,4171.0,13.2,13458.0,243.81,18.3,0.0,23.0,0.0,2.1511111111111108,1176.5018119701012
REE,39.7,38.5,39.1,38.7,39.75,722310.0,1651687.0,1597822.0,43.8,24.7,4514.0,8.8,12309.0,305.06,28.5,1.14,18.0,3636.0,1.7732793522267205,184.69601080592145
ROS,149.2,150.0,145.0,143.3,152.1,677990.0,1462841.0,1063105.0,214.1,76.6,1791.0,83.3,70572.0,473.0,12.0,0.6,15.0,886.0,2.795039164490862,323.3434118950727
SBS,3.0,2.9,3.0,2.7,3.0,827900.0,832463.0,1098690.0,3.9,1.1,-1.0,-3000.0,380.0,126.66,1.6,1.71,0.0,5.0,3.545454545454545,152.1509064066511
SBT,17.85,17.9,17.8,17.5,18.4,3709030.0,4219581.0,5717717.0,41.7,17.1,766.0,23.3,9943.0,557.02,12.8,1.01,6.0,540.0,2.4385964912280698,132.0083676554615
SCR,11.5,11.4,11.5,11.3,11.65,3724700.0,3895747.0,6669919.0,12.8,7.5,938.0,12.3,2805.0,243.87,14.3,0.98,6.0,711.0,1.7066666666666668,62.599034280203504
SHB,13.0,13.2,13.3,12.9,13.5,16181200.0,14953921.0,24241054.0,13.6,4.7,1141.0,11.4,14556.0,1203.13,14.1,1.62,10.0,839.0,2.8936170212765955,80.45582158686007
SHI,6.67,6.55,6.71,6.5,6.71,163440.0,472200.0,288796.0,8.9,5.9,1583.0,4.2,428.0,63.52,14.3,0.62,12.0,1766.0,1.5084745762711864,134.51927149512917
SHS,22.2,22.0,22.0,21.9,22.4,1123800.0,1930828.0,2661210.0,24.0,5.0,2917.0,7.6,2220.0,100.0,13.7,2.48,21.0,1211.0,4.8,51.791252250329904
SJS,31.6,31.3,31.3,30.8,31.6,78980.0,278741.0,300958.0,33.7,22.8,1483.0,21.3,3160.0,99.04,22.7,0.28,6.0,1785.0,1.4780701754385963,355.31192038487336
SKG,26.5,26.7,26.9,26.5,27.1,55010.0,205764.0,161749.0,57.2,24.3,3626.0,7.3,1271.0,47.98,16.8,0.72,22.0,4438.0,2.353909465020576,233.17975933593826
SPI,3.0,3.0,3.2,3.0,3.2,220500.0,425409.0,520254.0,6.8,2.1,-518.0,-5.8,50.0,16.82,10.3,-0.28,1.0,216.0,3.2380952380952377,39.53842067281135
SRC,15.1,15.3,15.3,15.0,15.6,272240.0,93620.0,174139.0,17.2,10.7,1220.0,12.4,424.0,28.07,12.2,0.54,10.0,2427.0,1.6074766355140186,299.82909634693436
SSI,34.15,33.6,33.8,33.8,34.5,3788310.0,5056020.0,6126917.0,36.6,19.9,1852.0,18.4,16736.0,490.06,18.2,1.76,10.0,1789.0,1.8391959798994977,96.92604064066202
