Ticker,Close,Close_1D,Open,Low,High,Volume,MeanVol_13W,MeanVol_10D,High52W,Low52W,EPS,PE,Market capital,Float,BookValue,Beta,ROE,EPS_52W,CPM,FVQ,Exchange
BTB,6.8,6.8,0.0,0.0,0.0,0.0,166.0,0.0,10.0,5.5,400.0,17.0,52000000000.0,7690000.0,14.0,0.0,3.0,992.0,1.8181818181818181,46325.301204819276,BM
BTCUSD,7008.42,0.0,7122.45,6846.8,7149.12,0.0,27194.0,0.0,8802.0,3133.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8092684795097664,0.0,BM
BTD,15.2,15.2,0.0,0.0,0.0,0.0,6328.0,1080.0,16.6,12.1,5000.0,3.0,97000000000.0,6410000.0,36.4,0.0,17.0,0.0,1.371900826446281,1012.9582806573958,BM
BTH,7.8,7.8,0.0,0.0,0.0,0.0,73.0,142.0,10.0,2.1,0.0,0.0,195000000000.0,25000000.0,0.0,0.0,-2.0,0.0,4.761904761904762,342465.7534246575,BM
BTN,8.3,8.3,0.0,0.0,0.0,0.0,1241.0,4320.0,10.4,3.4,0.0,0.0,37000000000.0,4470000.0,0.0,0.0,14.0,0.0,3.058823529411765,3601.933924254633,BM
BTP,12.5,12.5,0.0,0.0,0.0,0.0,48647.0,8983.0,15.1,9.4,4100.0,3.0,756000000000.0,59290000.0,19.3,0.54,21.0,385.0,1.606382978723404,1218.7801919953954,BM
BTS,4.8,4.8,0.0,0.0,0.0,0.0,1648.0,50.0,6.0,4.2,200.0,27.9,576000000000.0,119960000.0,11.3,0.11,2.0,350.0,1.4285714285714286,72791.26213592233,BM
BTT,36.5,36.5,0.0,0.0,0.0,0.0,1884.0,215.0,43.8,30.3,3700.0,9.9,493000000000.0,13500000.0,25.2,0.08,15.0,2223.0,1.4455445544554455,7165.605095541401,BM
BTU,10.4,10.4,0.0,0.0,0.0,0.0,62.0,0.0,11.7,6.1,600.0,18.5,37000000000.0,3600000.0,12.1,0.0,15.0,0.0,1.9180327868852458,58064.51612903226,BM
BTV,22.8,22.8,0.0,0.0,0.0,0.0,258.0,0.0,46.6,10.1,1000.0,21.7,570000000000.0,25000000.0,11.0,0.0,7.0,1017.0,4.613861386138614,96899.22480620156,BM
BTW,21.0,21.0,0.0,0.0,0.0,0.0,1928.0,111.0,25.3,12.0,2400.0,8.7,197000000000.0,9360000.0,17.9,0.66,13.0,664.0,2.1083333333333334,4854.771784232365,BM
BUD,11.8,11.8,0.0,0.0,0.0,0.0,184.0,0.0,15.6,7.3,0.0,0.0,41000000000.0,3510000.0,0.0,0.0,0.0,0.0,2.136986301369863,19076.08695652174,BM
BVG,2.1,2.1,0.0,0.0,0.0,0.0,17293.0,2220.0,2.4,1.1,0.0,0.0,20000000000.0,9750000.0,6.9,0.29,3.0,0.0,2.1818181818181817,563.8119470305904,BM
BVH,73.3,73.3,0.0,0.0,0.0,0.0,136395.0,67622.0,102.5,69.3,1500.0,49.4,51375000000000.0,700890000.0,22.2,1.01,7.0,2224.0,1.4790764790764792,5138.678104036071,BM
BVN,18.0,18.0,0.0,0.0,0.0,0.0,280.0,0.0,18.0,9.5,0.0,0.0,90000000000.0,5000000.0,0.0,0.0,7.0,0.0,1.894736842105263,17857.142857142855,BM
BVS,12.2,12.2,0.0,0.0,0.0,0.0,37289.0,23013.0,17.7,11.6,1400.0,8.5,881000000000.0,72220000.0,23.4,0.31,6.0,1688.0,1.5258620689655171,1936.764193193703,BM
BWA,10.1,10.1,0.0,0.0,0.0,0.0,29.0,30.0,23.4,4.3,0.0,0.0,27000000000.0,2700000.0,0.0,0.0,5.0,0.0,5.441860465116279,93103.44827586207,BM
BWE,25.0,25.0,0.0,0.0,0.0,0.0,755072.0,310145.0,27.6,15.4,2100.0,11.9,3750000000000.0,150000000.0,26.6,0.51,8.0,988.0,1.7922077922077924,198.65655195795898,BM
BWS,40.4,40.4,0.0,0.0,0.0,0.0,568.0,890.0,41.0,24.4,3300.0,12.4,2545000000000.0,63000000.0,0.0,0.0,29.0,0.0,1.6803278688524592,110915.49295774648,BM
BXH,15.9,15.9,0.0,0.0,0.0,0.0,757.0,90.0,16.6,8.6,500.0,33.8,48000000000.0,4920000.0,11.5,-0.62,4.0,0.0,1.9302325581395352,6499.339498018494,BM
C12,5.0,5.0,0.0,0.0,0.0,0.0,628.0,100.0,19.9,4.2,600.0,9.0,24000000000.0,4850000.0,17.6,0.0,16.0,0.0,4.738095238095237,7722.929936305732,BM
C21,25.1,25.1,0.0,0.0,0.0,0.0,2797.0,2357.0,25.5,20.2,4300.0,5.9,491000000000.0,19620000.0,33.5,0.01,15.0,6091.0,1.2623762376237624,7014.6585627458,BM
C22,22.0,22.0,0.0,0.0,0.0,0.0,1.0,0.0,31.0,22.0,0.0,0.0,78000000000.0,3550000.0,0.0,0.0,19.0,0.0,1.4090909090909092,3550000.0,BM
C32,29.0,29.0,0.0,0.0,0.0,0.0,59018.0,62384.0,31.6,22.3,7000.0,4.1,436000000000.0,15030000.0,33.6,1.03,21.0,6050.0,1.4170403587443947,254.66806736927714,BM
C47,11.4,11.4,0.0,0.0,0.0,0.0,19266.0,10606.0,19.3,7.6,2600.0,4.4,194000000000.0,17020000.0,19.1,0.12,13.0,1294.0,2.5394736842105265,883.421571680681,BM
C4G,10.0,10.0,0.0,0.0,0.0,0.0,370311.0,0.0,12.2,7.9,0.0,0.0,1010000000000.0,100000000.0,0.0,0.0,0.0,0.0,1.5443037974683542,270.04328793905665,BM
C69,7.5,7.5,0.0,0.0,0.0,0.0,88943.0,10630.0,9.5,4.1,500.0,13.9,75000000000.0,10000000.0,21.0,0.1,5.0,0.0,2.3170731707317076,112.4315572895,BM
C71,8.6,8.6,0.0,0.0,0.0,0.0,123.0,0.0,12.0,7.1,700.0,12.1,43000000000.0,5000000.0,12.5,0.0,12.0,1468.0,1.6901408450704227,40650.40650406504,BM
C92,8.2,8.2,0.0,0.0,0.0,0.0,16.0,10.0,11.0,5.0,100.0,115.5,44000000000.0,5310000.0,12.1,0.25,1.0,123.0,2.2,331875.0,BM
CAD,0.5,0.5,0.0,0.0,0.0,0.0,1803.0,2770.0,0.8,0.4,-800.0,-0.7,4000000000.0,8800000.0,-11.3,0.32,7.0,0.0,2.0,4880.75429839157,BM
CAN,46.2,46.2,0.0,0.0,0.0,0.0,22.0,30.0,46.2,20.7,-0.0,-1490.3,231000000000.0,5000000.0,22.0,-0.27,0.0,1166.0,2.2318840579710146,227272.72727272726,BM
CAP,40.9,40.9,0.0,0.0,0.0,0.0,5647.0,7846.0,46.3,32.1,7200.0,5.7,195000000000.0,4760000.0,16.1,0.21,45.0,2648.0,1.4423676012461057,842.9254471400743,BM
